diskCtlrTimeBegin,diskCtlrTimeEnd,diskCtlrQueueDepth,diskCtlrQueueDepthEnd,tagID_begin,tagID_end,diskCacheHitStatus,CCT,qCCT,tagID[1],opid[1],devno[1],blkno[1],blkcnt[1],flags[1],cylBegin[1],headBegin[1],thetaBegin[1],cylDest[1],headDest[1],sectorDest[1],SeekDistance[1],SeekTime[1],Latency[1],XferTime[1],AccessTime[1],rpo_seektime[1],rpo_latency[1],rpo_xfertime[1],BlocksXferred[1],block_first[1],block_last[1],tagID[2],opid[2],devno[2],blkno[2],blkcnt[2],flags[2],cylBegin[2],headBegin[2],thetaBegin[2],cylDest[2],headDest[2],sectorDest[2],SeekDistance[2],SeekTime[2],Latency[2],XferTime[2],AccessTime[2],rpo_seektime[2],rpo_latency[2],rpo_xfertime[2],BlocksXferred[2],block_first[2],block_last[2]
0.000000,16.356153,0,0,1,1,BUFFER_NOMATCH,16.356153,16.356153,1,0,0,8437604,4,1,6147,5,557158402,6147,6,0,6147,15.253680,0.025094,0.182594,15.461369,195000000,490106662,45648614,289,8437604,8437890,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
56.525153,57.865153,0,0,2,2,BUFFER_WHOLE,1.340000,1.340000,2,1,0,8437624,12,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
79.869153,81.191153,0,1,3,3,BUFFER_NOMATCH,1.322000,1.322000,3,2,0,8437728,8,0,6147,6,1526661165,6147,5,77,0,0.195000,1.496578,0.365189,2.056767,195000000,3685612366,365206029,9,8437728,8437736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
122.766153,125.338047,0,0,4,4,BUFFER_NOMATCH,2.571894,2.571894,4,3,0,8437624,8,1,6147,6,1049056610,6147,7,0,0,0.195000,0.914415,0.365189,1.474604,195000000,490106662,45648614,294,8437624,8437914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
185.078047,185.994047,0,0,5,5,BUFFER_WHOLE,0.916000,0.916000,5,4,0,8437632,8,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
250.803047,265.420898,0,0,6,6,BUFFER_NOMATCH,14.617851,14.617851,6,5,0,5512424,8,1,3739,0,2742237543,3739,1,0,2409,8.590410,4.535689,0.288173,13.414272,195000000,490232133,36021570,293,5512424,5512714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
318.436898,319.334898,0,1,7,7,BUFFER_NOMATCH,0.898000,0.898000,7,6,0,6211764,4,0,3739,1,1064965391,4269,1,50,530,4.528300,3.494286,0.144086,8.166673,4528300000,3758003404,144097689,5,6211764,6211768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
348.848898,349.367898,0,1,8,8,BUFFER_NOMATCH,0.519000,0.519000,8,7,0,6211848,4,0,4269,1,1431726679,4269,1,134,0,0.000000,4.936809,0.144086,5.080895,0,2882073553,144097689,5,6211848,6211852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
381.593898,399.599350,0,0,9,9,BUFFER_NOMATCH,18.005452,18.005452,9,8,0,769684,4,1,496,2,220245633,496,3,0,3773,11.002820,5.979136,0.122665,17.104621,195000000,480114611,30666242,289,769684,769970,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
441.928350,442.826350,0,1,10,10,BUFFER_NOMATCH,0.898000,0.898000,10,9,0,6969956,4,0,496,3,3855959638,4876,2,22,4380,12.130000,2.205996,0.154329,14.490325,12130000000,5441903473,154329275,5,6969956,6969960,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
508.443350,526.197063,0,0,11,11,BUFFER_NOMATCH,17.753713,17.753713,11,10,0,1519032,4,1,979,3,1101340052,979,4,0,3897,11.289260,5.440957,0.122665,16.852882,195000000,480114611,30666242,289,1519032,1519318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
567.833063,569.579063,0,1,12,12,BUFFER_NOMATCH,1.746000,1.746000,12,11,0,2846548,12,0,979,4,4085166678,1857,3,27,878,5.543000,0.096020,0.383736,6.022755,5543000000,2638905138,383758620,13,2846548,2846560,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
588.735063,590.102063,0,1,13,13,BUFFER_NOMATCH,1.367000,1.367000,13,12,0,2846560,12,0,1857,3,1916907271,1857,3,39,0,0.000000,3.440579,0.383736,3.824315,0,28516,383758620,13,2846560,2846572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
646.025063,646.544063,0,1,14,14,BUFFER_NOMATCH,0.519000,0.519000,14,13,0,3856712,4,0,1857,3,112345981,2543,1,156,686,5.019460,3.190367,0.135896,8.345724,5019460000,2833664577,135913561,5,3856712,3856716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
681.573063,694.503308,0,0,15,15,BUFFER_NOMATCH,12.930245,12.930245,15,14,0,138256,4,1,89,1,1233572112,89,2,0,2454,8.702460,3.204289,0.122665,12.029414,195000000,480114611,30666242,289,138256,138542,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
740.407308,741.305308,0,1,16,16,BUFFER_NOMATCH,0.898000,0.898000,16,15,0,6234972,4,0,89,2,3472231839,4286,5,126,4197,11.809050,3.093310,0.144086,15.046446,11809050000,3923978665,144097689,5,6234972,6234976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
759.078308,766.078705,0,0,17,17,BUFFER_NOMATCH,7.000397,7.000397,17,16,0,6235060,4,1,4286,7,854139368,4287,0,0,0,0.195000,5.776546,0.144086,6.115632,636000000,4371835835,36021570,289,6235060,6235346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
799.597705,800.495705,0,1,18,18,BUFFER_NOMATCH,0.898000,0.898000,18,17,0,6235160,4,0,4287,0,3032517240,4286,6,148,1,0.636000,4.395242,0.144086,5.175328,636000000,4912450260,144097689,5,6235160,6235164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
836.837705,837.780705,0,1,19,19,BUFFER_NOMATCH,0.943000,0.943000,19,18,0,4446764,8,0,4286,6,4008113335,2964,7,164,1322,6.636360,5.425461,0.271793,12.333614,6636360000,1229541223,271827122,9,4446764,4446772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
887.616705,888.559705,0,1,20,20,BUFFER_NOMATCH,0.943000,0.943000,20,19,0,4598956,8,0,2964,7,1822383505,3073,6,32,109,2.851160,1.958482,0.271793,5.081435,2851160000,4522275511,271827122,9,4598956,4598964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
928.094705,941.978442,0,0,21,21,BUFFER_NOMATCH,13.883737,13.883737,21,20,0,588260,16,1,379,2,1938542235,379,3,0,2694,9.066520,2.521721,0.490660,12.078901,195000000,480114611,30666242,301,588260,588558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
982.779442,984.543442,0,0,22,22,BUFFER_WHOLE,1.764000,1.764000,22,21,0,588320,16,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
1000.756442,1001.654442,0,1,23,23,BUFFER_NOMATCH,0.898000,0.898000,23,22,0,7927560,4,0,379,3,1473845724,5685,0,52,5306,13.766760,4.824461,0.164960,18.756181,13766760000,1492340139,164971493,5,7927560,7927564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
